다북쑥속의 식물	オウシュウヨモギ
콩고 민주공화국	コンゴ民主共和国,コンゴ民主共和国（旧ザイール）,ザイール,コンゴ共和国,コンゴ民主共和国 (キンシャサ)
몽중보행	睡眠時遊行症
도망하다	くたばれ
미리 알다	予見,予言する
액정 디스플레이	最小公分母,液晶ディスプレイ
가벼운거짓말	罪のない嘘,悪意にない嘘
이따금의	時折の,偶発的,偶然な,偶,時折
평화를 애호하는	平安な,安静な,平和な
정숙한	よい
정신병	精神異常
사기꾼	偽善者,ぎぜんしゃ,gizensha
실험적인	実験的
분류하다	分類する
자동차 소유자	運転手
페르세포네	ペルセポネー
개밥바라기	宵の明星
뿔있는	むらむら
미술적인	芸術的な
해오라기	1. 白鷺,鷺,サギ 2. 鷺
로미오	ロミオ
사과술	シードル,果実酒
의 명소를구경하다	祝う
평지씨	菜の花
중국 귤	北京語,華語,国語,北京官話,普通話
포위 공격	包囲,攻城戦
사라지다	1. 去る 2. 消える
살구빛	アンズ
좆되다	ファックする,セックスする,はめ倒す,セックスをする,寝ると,エッチする,嵌める,性交する
마케도니아	マケドニア
포유병	哺乳びん,哺乳瓶
실물그대로	勿論,もちろん,当然
임파선	リンパ節
실험용의	実験的
컴퓨터 언어학	計算機言語学,計算言語学
꼰 담배	お下げ
삼각형	三角形
포위자	とうしか,出資者,投資家,しゅっししゃ
로스앤젤리스	ロサンゼルス
임파액	リンパ液
물리 요법	理学療法
나락의	極端な
무의식 중의	偶然の
제사장	教皇,法王,ポープ,ローマ法王,ローマ教皇
감미료	1. 甘味料 2. 甘味料
각별히	特別,一入,ひとしお,別段,特殊に,特別に
라호르	ラホール
중심 인물	スパークプラグ
삼각법	三角法
각별한	特別な
가분수	仮分数
론 테니스	テニス
아프리카	あふりか,アフリカ
정서법	正書法,文字,文字綴り,オーソグラフィー,綴り,スペリング
폐진증	肺塵症
아르메니아	アルメニア
사기성	誤謬
보답하다	交換する,返す
임팔라	インパラ
포유류	哺乳類,哺乳動物
색소폰 연주가	サキソフォン
점성학	占星学,占星術
전염성 단핵증	伝染性単核球症
앵무새의 일종	1. コカトゥー 2. 脊黄青鸚哥
추측하다	想像する,推測する,そうぞうする,想像
전자장치	ブラックボックス
깡통따개	かんきり,缶切り
무정부상태의	アナキズム,無政府主義
제 1차 세계대전	第１次世界大戦,第一次世界大戦
영국인의	英国の,イギリスの
12月	師走,じゅうにがつ,十二月,12月
비겁하게도	臆病な
점착성	粘度
아마겟돈	ハルマゲドン,アルマゲドン
커스터드 소스	カスタード
독창적으로	本来
편자공	装蹄師,鍛冶屋
중고의	中古
전율하다	震え
~기로 하다	思い切る
심장병 전문의	心臓学医
중견수	中堅手
향락주의	快楽主義
오르막길	1. 登り,昇天 2. 上り坂 3. 登り 4. 上り坂
카보베르데	カーボベルデ
점차로	ようやく,小刻みに
점착력	忍耐,堅持
오를레앙	オルレアン
조사의	実情調査
GUI	グラフィカルユーザーインターフェース
은하 소우주	天の川,天の川銀河,銀河
아나그램	アナグラム
중국어	北京語,華語,国語,北京官話,普通話
중국인	中国語
사랑의 소곡	マドリガーレ,マドリガル
빙상요트	砕氷船
사랑의 사자	キューピッド
판게아 대륙	パンゲア大陸
모리셔스	モーリシャス
정찰대	警備
대륙이동	大陸移動
토오쿄오	帝都,とうきょう,Azabu,東京
조산원	助産婦
이 이상	nagaraku,ながらく,長らく
데이터의 형식	フォーマット
제책기	ホッチキス
노예의 신분;속박	奴隷
여행가방	1. スーツケース 2. 荷物,手荷物,スーツケース,かばん,鞄
의심을 나타내는	ayashii,怪しい,怪しむような,疑いの,あやしい
중금속	重金属
월경중인	病気
전치사	前置詞
예민하게	痛切に,切実に
프로페인	プロパン
야만 행위	あらし
공기펌프	真空ポンプ
다르에스살람	ダルエスサラーム
외국인을 싫어함	外国人排斥,外国人恐怖症,外国人嫌悪
싱가포르의	1. シンガポールの 2. シンガポールの
겉보기에는	思しい,明らかに,明白に,らしい,明らか
회의사항	計画,議事,日程
전제론자	かせい,専制
말레이 반도	マレーシア,Marēshia
놀라게 하다	1. 驚かせる 2. 驚かす,仰天させる,驚かせる
미분방정식	微分方程式
황색 인종의	黄色い
신하의 영지	しんじゅう
꿋꿋함	勇気
폼알데하이드	ホルムアルデヒド
반복하는	イテレーティブな
전기뱀장어	デンキウナギ,電気ウナギ
화학 요법	化学療法
정치가	煽動
퇴역군인	古兵
動詞	動詞
평온한	平安な,安静な,平和な
돼지 저금통	貯金箱
아름답게	綺麗に
자동 양수기	ポンプ
유라시아	欧亜,亜欧,ユーラシア
12개	jūni,じゅうに,十二,ダース
에티오피아	エチオピア,アビシニア
인적 자원	人力,じんざい,人々,人材
기계적 기억	暗記学習
nemo	長方形,ちょうほうけい
조속한	さっさと
기분 나쁜	不気味な
수질오염	水質汚濁,水質汚染
화학 원소	1. 元素,化学元素 2. 元素,化学元素
자군 절제	子宮摘出術
음향효과	音響,音響学
제초기	ターミネータ,明暗境界線,終端器,ターミネーター
제초제	除草剤
어쩔수 없는 운명	必至の,恒常的,避けがたい,常習,避けることのできない,必至,不可避
평의원	上院議員
프랑스 혁명	フランス革命
포스터	張り紙,ポスター
뇌수막염	髄膜炎
에스페란토	エスペラント語,エスペラント
남녀추니의	1. 両性具有 2. 両性具有
애타주의	利他主義
조숙한	soujuku,早熟,そうじゅく
손목 관절	リスト,手首
색슨 사람	サクソン語,サクソン人
필사적인 용기	尻,ケツ
꽃식물	被子植物
평안한	平安な,安静な,平和な
포클랜드 제도	フォークランド諸島
조심함	無口
손금보기	手相
렌즈콩	レンズマメ
언어학자	言語学者
라틴 아메리카	ラテンアメリカ
주니말	ズニ語
놀랄 만한	突然
아메리카 합중국	亜米利加,アメリカ大陸,アメリカ州,アメリカ合衆国,アメリカ,米国
위막성 후두염	尻,ケツ
고갈시키다	尽くす
히브리주의	ユダヤ教
포스트모더니즘	ポストモダン
계통 발생	進化論
기도서성가	カンティクム
프로펠러식 비행기	トラクター
어떤 사람	人,人間
욕심꾸러기	ハイエナ
名詞	名詞,名前
태양중심의	日心,太陽中心
잘못된 이름	誤称,rangnefni
의심스러운 것	疑い
시계 방향	右回り,時計回り
아나나스	パイナップル
주니족	ズニ語
정치학	政治学
영원한 생명	永生,永世
마이크로 컴퓨터	マイクロコンピュータ,パソコン,マイコン
음향학의	アコースティック
교회의 권위	服従
장식하다	1. 飾る 2. 飾る
단정하게 잘 생긴	ハンサム,ハンサムな
심한눈보라	暴風雪,吹雪
죄는것	狭窄
반측마비	片麻痺
필름 편집	コラージュ
글라스노스트	グラスノスチ
媽媽	疱瘡,天然痘,痘瘡
잔혹한	残酷な,残酷,惨い
발의 위치	見得
밤을 새우는 사람	ふくろう,梟,フクロウ
자기 속도계	タコグラフ
포배엽	胚盤葉
姓	みょうじ,苗字,姓氏,あだ名,名字,姓
조방의	広汎
플로리다	フロリダ,フロリダ州
정전기	静電学,静電気
마음대로 움직이다	強要する
청정 장치	デバッガ
플랑크톤	プランクトン,浮遊生物
열정적인	はげしい,激しい
정장석	正長石
수력;낙수	水力,すいりょく
공리주의의	便利な
비대칭의	非対称
카스피해	カスピ海
에틸알코올	エタノール
졸업 증서	卒業証書,ディプロマ
여행 가방	1. スーツケース 2. 荷物,手荷物,スーツケース,かばん,鞄
덴마크최대의 섬	シェラン島
정장의	燕尾服
과학기술	科学技術,生産技術,工学,テクノロジー,工業技術,技術
장난 좋아하는 요정	パック
히브리어풍	ユダヤ教
라스베이거스	ラスベガス
gan	.婚外性交,姦通,不倫,姦淫,私通,密通
家庭	家庭,世帯,家族
잘 생각해 낸	hashikoi,はしこい
레퀴엠	死者のためのミサ,鎮魂歌
오호츠크 해	オホーツク海
성 잘내는 사람	はち,蜂
근로 장학생	サーバ
포물선	放物線
베트남의 수도	ハノイ
小便	1. ピー,尿,おしっこ,小便 2. 尿,小便
자연선택	自然淘汰,適者生存
저쪽에	あそこへ,そこへ
11월	十一月,１１月,じゅういちがつ,霜月,11月
오해하다	勘違い,誤解
14일	二週間
安寧	健康,げんき,元気
펌웨어	ファームウェア
주임 신부	牧師
10억	十億
10월	十月,神無月,じゅうがつ,10月
오카리나	つちぶえ,土笛,オカリナ
家具	kagu,かぐ,家具
믿을수 없을 만큼	凄く
충심으로	近く
제작자	建築家
팜플렛	小冊子
류머티즘성 관절염	関節リウマチ
자연신교	理神論
實數	実数
하바롭스크	ハバロフスク
결혼하다	結婚する
히브리인의	ユダヤ,ユダヤ人
꾸준히하다	働く
외교 정책	外交
과산화수소	過酸化物,過酸化水素水,過酸化水素
정중면	メソン,メゾン
10만	ラッカー
코르크 재킷	救命胴衣,ライフジャケット
잠깐 쉼	小康
여과성 병원체	コンピュータウイルス,ウイルス
國語	朝鮮人,韓国人
좀벌레	蛾,が
기독교 교파	キリスト教
밀리미터	ミリメートル
안뜰 둘레의 건물	中庭,なかにわ
제조소	こうじょう
스와질란드	スワジランド
라이프치히	ライプツィヒ
Linux	Linux,リナックス
발음 구별 부호	ダイアクリティカルマーク
장황한	冗長な
불가항력의	必然の,避けがたい
대상포진	帯状疱疹
조카의 아들	大甥
주임 사제	学寮長
~제기랄	硫黄
루마니아	ルーマニア
시베리아	シベリア
방사성 원소	プロトアクチニウム
예방하다	予防,防ぐ
홈 페이지	ウェブサイト
스와질랜드	スワジランド
관광 사업	観光
한국 전쟁	朝鮮戦争
플래티나	プラチナ,ぷらちな,白金
팸플릿	小冊子
끄는 도구	トラクター
사죄하다	詫びる,謝る
팸플렛	小冊子
진성 당뇨병	糖尿病,とうにょうびょう
중간권	中間圏
일정적인	回帰線,熱帯
저체온	低体温症
큰 수캥거루	ベビーブーマー
주마등같이 변하는	超現実的
목동자리	羊飼い
수소폭탄	すいばく,水素爆弾,水爆
페이지	ページ
운명 예정설	定め
큰곰자리	1. 北斗七星 2. おおぐま座
구워지다	炙る
평소에	いつもは,俗,通常,tada,何時も,一般に,日頃,大抵,普通に,ただ,いつも
정지한	静止した,変わらない,固定された,止まっている
증오하는	憎い
일반인의	市民の
같은 계통의 것	いとこ,従兄弟,従姉妹
경작;경지;농작물	耕作
주기표	周期表
중간자	メソン,メゾン
일처 다부	一妻多夫制
이리 들린 사람	狼男
비밀 누설	暴露
손해를 주는	害する,損なう
꾸리다	包装する,包む
호화스러운	豪華な,華やか
엘리베이터	エレベーター,昇降機
중간층	中間圏
깊은 바다의	極端な
짓	手工芸
집	1. tatemono,建物,ビル,家 2. 家庭,世帯,家族 3. 家 4. 住居,seki,家屋,せき,住宅,居留
지	ゼッド,ゼドゥ
질	ぼぼ,膣,つび,へへ,そそ
문화기술연구	民族誌
좀	ちょっと
파편의	切れ切れの
테러리스트	テロリスト
점	ネクロマンシー
젖	ミルク,牛乳,乳
적	1. 敵 2. aite,相手 3. 敵
절	段落
재	ガート
즉	つまり,すなわち
